LOCALITÀ DI INTERVENTO;"Attrattore
Tipo";"Attrattore
Nome";Municipio;"Posti
×
manuf";"Tot
manuf";"Tot
posti";Data di posa
Monte Titano, Piazza – Ingresso laterale, presso parcheggio autobus (2 aree);Stazione ferroviaria;FS Lambrate;3;5;3;15;25/05/2016
Monteverdi, Via – Presso Piscina Bacone, angolo Via Piccinni;Piscina;Piscina Comunale - Milano Sport - Bacone;3;6;2;12;27/09/2011
Monteverdi, Via – Presso Piscina Bacone, angolo Via Piccinni;Piscina;Piscina Comunale - Milano Sport - Bacone;3;5;2;10;27/09/2011
Morgagni G.B., via - cv 10 (angolo con via Broggi) - Fronte fiorista;Esercizio commerciale;Bio c' Bon;3;5;1;5;25/05/2016
Morgagni, Via  (ang. Plinio) – cv 2 – Presso oratorio maschile ***** ASSESSORE;Vari;;3;5;1;5;20/09/2012
Otto Novembre 1917, Piazza – Presso ingressi della stazione;Stazione ferroviaria;FS Porta Venezia;3;6;6;36;14/05/2012
Ozanam, Via – Presso ingressi stazione;Stazione metropolitana;M1 Lima;3;5;1;5;11/05/2013
"Pascal, Via – cv 35 – Scuola Secondaria di Primo Grado ""A. B. Cairoli""";Scuola Secondaria di Primo Grado;CAIROLI;3;5;3;15;24/03/2015
"Pascal, Via – cv 35 – Scuola Secondaria di Primo Grado ""A. B. Cairoli""";Scuola Secondaria di Primo Grado;IC Scarpa;3;5;3;15;01/01/2013
Pecchio, Via – Presso Ingresso della stazione;Stazione metropolitana;M1 Loreto;3;5;3;15;18/10/2012
Pergolesi G.B. Via – Vicino all'angolo con Buenos Aires;Vari;;3;5;1;5;10/04/2013
Pini, Via – cv 1 – C/o Guardie Ecologiche Volontarie;Uffici e servizi pubblici;Guardie Ecologiche Volontarie;3;5;2;10;15/05/2015
Pini, Via – cv 1 – C/o scuola steineriana / AMAT;Vari;;3;5;1;5;28/07/2015
Pini, Via – cv 3 – Presso Scuola Primaria ;Scuola Primaria;E. Morante;3;5;1;5;2013
Pisacane, Via – cv 13 – Scuola secondaria Locatelli – Accesso da Piazza Fratelli Bandiera;Scuola Secondaria di Primo Grado;Locatelli;3;5;3;15;23/03/2015
Pusiano, Via – snc – Presso stazione M2 Cimiano;Stazione metropolitana;M2 Cimiano;3;5;1;5;19/07/2016
Reni, Via – cv 11 – Presso Scuola dell'Infanzia;Scuola dell'Infanzia;Reni 11;3;6;1;6;01/06/2015
Rio de Janeiro, Largo - cv  1-3-5-7;Vari;;3;5;4;20;16/04/2016
Romagna, Viale – cv 16;Scuola Primaria;IC Viale Romagna – Plesso Nolli-Arquati;3;6;4;24;10/04/2015
Romagna, Viale – cv 16-18;Scuola Primaria;IC Viale Romagna – Plesso Nolli-Arquati;3;6;1;6;08/07/2014
Romagna, Viale – cv 18;Scuola Primaria;IC Viale Romagna – Plesso Nolli-Arquati;3;6;2;12;10/04/2015
Romagna, Viale – cv 2;Vari;;3;5;2;10;02/05/2016
Romagna, Viale – cv 2;Vari;;3;5;1;5;16/08/2016
Romagna, Viale – cv 25;Vari;;3;5;1;5;16/04/2016
Romagna, Viale – cv 37;Vari;;3;5;1;5;16/04/2016
Romagna, Viale – cv 61;Vari;;3;6;1;6;10/04/2015
Romagna, Viale – cv 62;Casa dello studente;Politecnico di Milano;3;6;5;30;10/04/2015
Romagna, Viale – cv 64 angolo Piazza Leonardo da Vinci;Scuola Primaria;Leonardo da Vinci;3;6;1;6;10/04/2015
Romagna, Viale – cv 71;Vari;;3;6;1;6;10/04/2015
Romagna, Viale – cv 74;Vari;;3;6;1;6;10/04/2015
Sansovino, Via – cv 9 – Presso Consiglio di Zona 3 - Anagrafe - Ecc;Uffici e servizi pubblici - CdZ 3 - Anagrafe;;3;5;1;5;2013
Santa Francesca Romana, Piazza – Presso ingresso del Passante;Stazione ferroviaria;FS Porta Venezia;3;11;1;11;27/09/2011
Santa Francesca Romana, Piazza – Presso ingresso del Passante;Stazione ferroviaria;FS Porta Venezia;3;10;1;10;27/09/2011
Santa Francesca Romana, Piazza – Presso ingresso del Passante;Stazione ferroviaria;FS Porta Venezia;3;5;1;5;27/09/2011
Settala, Via – cv 10 – Presso angolo con Viale Tunisia;Vari;;3;6;1;6;08/05/2015
